web_scraper_order,web_scraper_start_url,image,location,price,name
"1765120257-31","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1935629_uploaded_image1_1586731094.02.png","Diourbel, Sénégal","Prix sur demande","Vaches"
"1765120257-32","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1935403_uploaded_image1_1586726495.69.png","Fann, Dakar, Sénégal","Prix sur demande","Chaton Persan"
"1765120257-33","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1934309_uploaded_image1_1586712626.03.png","Fann, Dakar, Sénégal","Prix sur demande","Perruches"
"1765120257-34","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1899735_uploaded_image1_1586139854.78.png","Fann, Dakar, Sénégal","Prix sur demande","Chat Siamois"
"1765120257-35","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1890125_uploaded_image1_1585933665.81.png","Mermoz-Sacré-Cœur, Dakar, Sénégal","30 000CFA","Dindon rouge"
"1765120257-36","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1825906_uploaded_image2_1584739800.55.png","Dakar, Sénégal","350 000CFA","Chat siamois"
"1765120257-37","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1606230_uploaded_image1_1581008311.59.png","Keur Massar, Sénégal","600 000CFA","Bœuf"
"1765120257-38","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1544433_uploaded_image1_1580089804.86.png","Tambacounda, Sénégal","750 000CFA","Boeufs"
"1765120257-39","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1521675_uploaded_image1_1579700066.65.png","Dakar, Sénégal","Prix sur demande","Couple de chèvre"
"1765120257-40","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1500655_uploaded_image1_1579358078.9.png","Rufisque, Sénégal","275 000CFA","Vaches"
"1765120257-41","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1495773_uploaded_image1_1579276951.77.png","Saint Louis, Sénégal","700 000CFA","Bœuf"
"1765120257-42","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1490889_uploaded_image1_1579188174.8.png","Dakar, Sénégal","Prix sur demande","Dindes - canards et colverts"
"1765120257-43","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1459836_uploaded_image1_1578670978.71.png","Patte d'oie, Dakar, Sénégal","4 000CFA","Biscuit en poudre pour betail"
"1765120257-44","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1453837_uploaded_image1_1578583493.67.png","Point E, Dakar, Sénégal","Prix sur demande","Perruches"
"1765120257-45","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1453830_uploaded_image1_1578583361.91.png","Point E, Dakar, Sénégal","Prix sur demande","Perruches"
"1765120257-46","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1441558_uploaded_image1_1578406878.24.png","Mermoz-Sacré-Cœur, Dakar, Sénégal","Prix sur demande","Perruches"
"1765120257-47","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png","Fass, Dakar, Sénégal","Prix sur demande","Oies toulouse"
"1765120257-48","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1421206_uploaded_image2_1578050744.82.png","Fatick, Sénégal","400 000CFA","Cheval"
"1765120257-49","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1421196_uploaded_image1_1578050637.48.png","Fatick, Sénégal","400 000CFA","Cheval"
"1765120257-50","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1417652_uploaded_image1_1577968881.34.png","Thies, Sénégal","Prix sur demande","Oies de guinée"
"1765120257-51","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1395711_uploaded_image1_1577438640.7.png","Dakar, Sénégal","Prix sur demande","Perruches"
"1765120257-52","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1395598_uploaded_image1_1577437294.33.png","Mermoz-Sacré-Cœur, Dakar, Sénégal","Prix sur demande","Perruches"
"1765120257-53","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1393968_uploaded_image1_1577393598.45.png","Dakar, Sénégal","20 000CFA","Oiseaux exotiques"
