web_scraper_order,web_scraper_start_url,conteani,price,image,data4,data6,data7
"1765118234-212","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3214802_uploaded_image1_1625661526.jpg","Sicap Liberté, Dakar, Sénégal","250CFA","Chiot berger"
"1765118234-213","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3212861_uploaded_image1_1625581413.jpg","Thies, Sénégal","450 000CFA","Chiot Boerboel"
"1765118234-214","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3202334_uploaded_image1_1625164146.jpg","Ouest Foire, Dakar, Sénégal","200 000CFA","Caniche bichon"
"1765118234-215","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3199510_uploaded_image1_1625076077.jpg","Thies, Sénégal","Prix sur demande","Chiots Rotweiller"
"1765118234-216","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3193468_uploaded_image1_1624738582.jpg","Hann Bel-Air, Dakar, Sénégal","Prix sur demande","Chiots"
"1765118234-217","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3191873_uploaded_image1_1624648157.jpg","Hann Bel-Air, Dakar, Sénégal","Prix sur demande","Chiots"
"1765118234-218","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3190440_uploaded_image1_1624569942.jpg","Mbao, Dakar, Sénégal","300 000CFA","Chien Canne Corso italien"
"1765118234-219","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3189286_uploaded_image1_1624530960.jpg","Parcelle Assainies, Dakar, Sénégal","450 000CFA","Chiot Doberman"
"1765118234-220","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3185241_uploaded_image1_1624350699.jpg","Sicap Liberté, Dakar, Sénégal","Prix sur demande","Chiot pittbull"
"1765118234-221","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3183820_uploaded_image1_1624279100.jpg","Sicap Liberté, Dakar, Sénégal","Prix sur demande","Chiot Pitbull"
"1765118234-222","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3182211_uploaded_image1_1624190461.jpg","Sicap Liberté, Dakar, Sénégal","Prix sur demande","Chiots pittbull male"
"1765118234-223","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3174182_uploaded_image1_1623781709.jpg","Thies, Sénégal","Prix sur demande","Chien berger belge malinois"
"1765118234-224","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3174177_uploaded_image1_1623781504.jpg","Thies, Sénégal","Prix sur demande","Chiots berger allemand"
"1765118234-225","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3173764_uploaded_image1_1623769361.jpg","Guédiawaye, Dakar, Sénégal","Prix sur demande","Chiots Berger Allemand"
"1765118234-226","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3173633_uploaded_image1_1623766305.jpg","Pikine, Sénégal","Prix sur demande","Chien"
"1765118234-227","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3169152_uploaded_image1_1623530409.jpg","Guediawaye, Dakar, Sénégal","175 000CFA","Chiot berger allemand"
"1765118234-228","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3166487_uploaded_image1_1623411352.jpg","Sicap Liberté, Dakar, Sénégal","Prix sur demande","Chiot Malinois"
"1765118234-229","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3163567_uploaded_image1_1623273113.jpg","Keur Massar, Sénégal","165 000CFA","Chiot Berger Allemand"
"1765118234-230","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3159435_uploaded_image1_1623109995.jpg","Ouakam, Dakar, Sénégal","125 000CFA","Caniches Bichons maltais - 5 mois"
"1765118234-231","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3157315_uploaded_image1_1623033828.jpg","Hann Bel-Air, Dakar, Sénégal","300 000CFA","Chiot Labrador"
"1765118234-232","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3156059_uploaded_image1_1622974281.jpg","Thies, Sénégal","Prix sur demande","Chiots bergers allemands"
"1765118234-233","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3154816_uploaded_image1_1622898660.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","180 000CFA","Chiots bichon malté"
"1765118234-234","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3154731_uploaded_image1_1622896116.jpg","Thies, Sénégal","Prix sur demande","Mâle berger allemand"
"1765118234-235","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3154709_uploaded_image1_1622895481.jpg","Thies, Sénégal","Prix sur demande","Mâle berger allemand"
"1765118234-236","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3143508_uploaded_image1_1622507623.jpg","Dakar, Sénégal","300 000CFA","Bichons maltais"
"1765118234-237","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3137013_uploaded_image1_1622138411.jpg","Bargny, Sénégal","120 000CFA","Pitbul"
"1765118234-238","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3130909_uploaded_image1_1621857767.jpg","Pikine, Sénégal","150 000CFA","Chiots tigrés"
"1765118234-239","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3127168_uploaded_image1_1621619155.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","400 000CFA","Chiot Malinois"
"1765118234-240","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3121248_uploaded_image1_1621346709.jpg","Thies, Sénégal","100 000CFA","Chiens Berger Allemand"
"1765118234-241","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3109622_uploaded_image1_1620694648.jpg","Rufisque, Sénégal","100 000CFA","Chiot berger malinois"
"1765118234-242","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3106042_uploaded_image1_1620542269.jpg","Thies, Sénégal","150 000CFA","Chien mâle berger allemand"
"1765118234-243","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3106040_uploaded_image1_1620542168.jpg","Thies, Sénégal","200 000CFA","Chiots Berger Malinois mâle - femelle"
"1765118234-244","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3098650_uploaded_image1_1620217591.jpg","Guediawaye, Dakar, Sénégal","300 000CFA","Chien Pitbull"
"1765118234-245","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3098631_uploaded_image1_1620217195.jpg","Guediawaye, Dakar, Sénégal","450 000CFA","Chiots labradors"
"1765118234-246","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3092060_uploaded_image1_1619960652.jpg","Ouest Foire, Dakar, Sénégal","250 000CFA","Chiot berger allemand"
"1765118234-247","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3086369_uploaded_image1_1619699793.jpg","Fann, Dakar, Sénégal","Prix sur demande","Chiots Pékinois"
"1765118234-248","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3085151_uploaded_image1_1619629177.jpg","Bargny, Sénégal","150CFA","Chiots Pitbull"
"1765118234-249","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3083215_uploaded_image1_1619540472.jpg","Dakar, Sénégal","130 000CFA","Chiot Pitbull"
"1765118234-250","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3079960_uploaded_image1_1619390476.jpg","Sicap Liberté, Dakar, Sénégal","350 000CFA","Chiots Bichon Maltais"
"1765118234-251","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3076436_uploaded_image1_1619191470.jpg","Mbao, Dakar, Sénégal","200 000CFA","Chiot Bichon"
"1765118234-252","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3064744_uploaded_image1_1618661657.jpg","Hann Bel-Air, Dakar, Sénégal","150 000CFA","Chiot berger allemand mâle"
"1765118234-253","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3057395_uploaded_image1_1618335212.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","450 000CFA","Chiot Boerboel"
"1765118234-254","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3045523_uploaded_image1_1617806957.jpg","Dakar, Sénégal","400 000CFA","Chiot femelle Yorkshire"
"1765118234-255","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3035100_uploaded_image3_1617361106.jpeg","Rufisque, Sénégal","150 000CFA","Chiots Bergers Allemands"
"1765118234-256","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3032898_uploaded_image1_1617282596.jpg","Dakar Plateau, Dakar, Sénégal","450 000CFA","Chiot Husky"
"1765118234-257","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3025431_uploaded_image1_1616942140.jpg","Mamelles, Dakar, Sénégal","150CFA","Chiot pitbull"
"1765118234-258","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3023422_uploaded_image1_1616808652.jpg","Yoff, Dakar, Sénégal","200CFA","Chiot couple teckel"
"1765118234-259","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3018685_uploaded_image1_1616591306.jpg","Pikine, Sénégal","150 000CFA","Chiots Bergers Allemands"
"1765118234-260","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3012169_uploaded_image1_1616254703.jpg","Sicap Liberté, Dakar, Sénégal","210 000CFA","Chien Bijon Malté"
"1765118234-261","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3005863_uploaded_image1_1615940766.jpg","Colobane, Dakar, Sénégal","450 000CFA","Chiot cane corso"
"1765118234-262","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3005565_uploaded_image1_1615928047.jpg","Mamelles, Dakar, Sénégal","Prix sur demande","Berger belge malinois"
"1765118234-263","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_3005026_uploaded_image1_1615910656.jpg","Sicap Liberté, Dakar, Sénégal","450 000CFA","Chiot Labrador"
"1765118234-264","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_2996181_uploaded_image1_1615461660.jpg","Dakar, Sénégal","Prix sur demande","Chien cane corso"
"1765118234-265","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_2996177_uploaded_image1_1615461551.jpg","Dakar, Sénégal","Prix sur demande","Chiots Cane Corso"
"1765118234-266","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_2978927_uploaded_image1_1614644526.jpg","Dakar, Sénégal","300 000CFA","Chiots Rottweiler"
"1765118234-267","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_2974090_uploaded_image1_1614426862.jpg","Thies, Sénégal","400 000CFA","Chiots boerboels purebreed"
"1765118234-268","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_2972487_uploaded_image1_1614338722.jpg","Mbao, Dakar, Sénégal","Prix sur demande","Chiots bichons maltais pure race"
"1765118234-269","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_2965558_uploaded_image1_1614019535.jpg","Hann Bel-Air, Dakar, Sénégal","150 000CFA","Chiots"
"1765118234-270","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_2962156_uploaded_image1_1613831786.jpg","Mbao, Dakar, Sénégal","Prix sur demande","Chiot Husky 4mois femelle"
"1765118234-271","https://sn.coinafrique.com/categorie/chiens?page=8","","","https://images.coinafrique.com/thumb_2957371_uploaded_image1_1613600366.jpg","HLM, Dakar, Sénégal","300 000CFA","Chiot boerboel"
"1765118238-272","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3675795_uploaded_image1_1651360362.jpg","Sicap Liberté, Dakar, Sénégal","Prix sur demande","Chiot Pittbull"
"1765118238-273","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3674879_uploaded_image2_1651277234.jpeg","Mermoz-Sacré Coeur, Dakar, Sénégal","350 000CFA","Chiots"
"1765118238-274","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3674870_uploaded_image1_1651276539.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","300 000CFA","Bichons"
"1765118238-275","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3672231_uploaded_image1_1651098138.jpg","Dakar, Sénégal","165 000CFA","Chiots Bergers Allemands"
"1765118238-276","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3671351_uploaded_image1_1651056079.jpg","Mariste, Dakar, Sénégal","180 000CFA","Chiots Berger Allemand"
"1765118238-277","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3651393_uploaded_image1_1649830979.jpg","Almadies, Dakar, Sénégal","400 000CFA","Chien malinois belge"
"1765118238-278","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3643086_uploaded_image1_1649338352.jpg","Saly, Sénégal","400 000CFA","Chiots Bichon"
"1765118238-279","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3643080_uploaded_image1_1649338162.jpg","Saly, Sénégal","400 000CFA","Chiots Bichon"
"1765118238-280","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3641088_uploaded_image1_1649246394.jpg","Almadies, Dakar, Sénégal","250 000CFA","Berger Malinois"
"1765118238-281","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3620132_uploaded_image1_1648033840.jpg","Thies, Sénégal","150 000CFA","Chiot Berger"
"1765118238-282","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3620121_uploaded_image1_1648033413.jpg","Thies, Sénégal","80 000CFA","Chiot femelle"
"1765118238-283","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3609624_uploaded_image1_1647349943.jpg","Hann Bel-Air, Dakar, Sénégal","200 000CFA","Bichon Maltais"
"1765118238-284","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3606222_uploaded_image2_1647128155.jpeg","Ouest Foire, Dakar, Sénégal","150 000CFA","Chien"
"1765118238-285","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3605748_uploaded_image1_1647097502.jpg","Ouest Foire, Dakar, Sénégal","250 000CFA","Chien Bichon Maltais"
"1765118238-286","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3605422_uploaded_image1_1647084802.jpg","Keur Massar, Sénégal","170 000CFA","Chiots bergers allemands"
"1765118238-287","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3596319_uploaded_image1_1646581647.jpg","Saint Louis, Sénégal","120 000CFA","Chiot mâle Pitbull"
"1765118238-288","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3590682_uploaded_image1_1646255754.jpg","Sicap Liberté, Dakar, Sénégal","150 000CFA","Chiots croisés"
"1765118238-289","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3588708_uploaded_image1_1646171264.jpg","Dakar, Sénégal","80 000CFA","Berger allemand femelle"
"1765118238-290","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3586169_uploaded_image1_1646072311.jpg","Rufisque, Sénégal","Prix sur demande","Chiots Berger Malinois"
"1765118238-291","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3580502_uploaded_image3_1645666033.jpeg","Keur Massar, Sénégal","400 000CFA","Berger allemand"
"1765118238-292","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3576029_uploaded_image1_1645405787.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","200 000CFA","Caniche"
"1765118238-293","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3567601_uploaded_image1_1644861792.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","200 000CFA","Chien Husky Berger"
"1765118238-294","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3564716_uploaded_image1_1644653719.jpg","Yoff, Dakar, Sénégal","200 000CFA","Caniches"
"1765118238-295","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3560042_uploaded_image1_1644375431.jpg","Almadies, Dakar, Sénégal","150 000CFA","Chiots malinois"
"1765118238-296","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3559497_uploaded_image1_1644342610.jpg","Dakar Plateau, Dakar, Sénégal","200 000CFA","Chien Rottweiler"
"1765118238-297","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3555055_uploaded_image1_1644018829.jpg","Saint Louis, Sénégal","130 000CFA","Femelle pitt"
"1765118238-298","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3554069_uploaded_image1_1643979741.jpg","Saint Louis, Sénégal","Prix sur demande","Chien"
"1765118238-299","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3542781_uploaded_image1_1643376341.jpg","Mbao, Dakar, Sénégal","Prix sur demande","Chiots berger allemand"
"1765118238-300","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3539780_uploaded_image1_1643199203.jpg","Guediawaye, Dakar, Sénégal","200 000CFA","Chiot Caniche"
"1765118238-301","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3538695_uploaded_image1_1643123090.jpg","Dakar Plateau, Dakar, Sénégal","150 000CFA","Chien Dogue Allemand croisé Berger"
"1765118238-302","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3538182_uploaded_image1_1643104371.jpg","Mamelles, Dakar, Sénégal","150 000CFA","Chiot Amstaff"
"1765118238-303","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3535198_uploaded_image2_1642854976.jpeg","Cambérène, Dakar, Sénégal","500 000CFA","Dalmatien"
"1765118238-304","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3532010_uploaded_image1_1642671792.jpg","Dakar, Sénégal","110 000CFA","Chien Pitbull mâle"
"1765118238-305","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3528607_uploaded_image1_1642449665.jpg","Rufisque, Sénégal","Prix sur demande","Chiots malinois"
"1765118238-306","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3526979_uploaded_image1_1642348631.jpg","Point E, Dakar, Sénégal","Prix sur demande","Chiot Bulldog Français"
"1765118238-307","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3526946_uploaded_image1_1642346487.jpg","Sicap Liberté, Dakar, Sénégal","200 000CFA","Chien malinois"
"1765118238-308","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3523984_uploaded_image1_1642144226.jpg","Fann-Point E-Amitié, Dakar, Sénégal","Prix sur demande","Chiots Samoyede"
"1765118238-309","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3523897_uploaded_image1_1642127455.jpg","Guediawaye, Dakar, Sénégal","150 000CFA","Pitbull"
"1765118238-310","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3518812_uploaded_image1_1641875927.jpg","Mbao, Dakar, Sénégal","Prix sur demande","Chiots Bichons Maltais"
"1765118238-311","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3515349_uploaded_image1_1641650640.jpg","Dakar Plateau, Dakar, Sénégal","600 000CFA","Husky blanc sibérie"
"1765118238-312","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3512030_uploaded_image1_1641478168.jpg","Rufisque, Sénégal","Prix sur demande","Chien"
"1765118238-313","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3509769_uploaded_image1_1641378260.jpg","Dakar, Sénégal","200 000CFA","Chiots caniches"
"1765118238-314","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3508870_uploaded_image3_1641321686.jpeg","Mbour, Sénégal","150 000CFA","Chiots"
"1765118238-315","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3508376_uploaded_image1_1641305550.jpg","Keur Massar, Sénégal","200 000CFA","Chiot Rottweiler"
"1765118238-316","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3507395_uploaded_image1_1641253462.jpg","Dakar, Sénégal","130 000CFA","Chien Pitbull"
"1765118238-317","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3499830_uploaded_image1_1640680877.jpg","Mbao, Dakar, Sénégal","Prix sur demande","Chiot bichon maltais"
"1765118238-318","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3498824_uploaded_image1_1640602505.jpg","Fann-Point E-Amitié, Dakar, Sénégal","Prix sur demande","Chiots Pékinois"
"1765118238-319","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3495193_uploaded_image1_1640255635.jpg","Fann-Point E-Amitié, Dakar, Sénégal","Prix sur demande","Chiots Doberman"
"1765118238-320","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3489697_uploaded_image1_1639845388.jpg","Mbao, Dakar, Sénégal","Prix sur demande","Chiots Bichons maltais"
"1765118238-321","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3489190_uploaded_image1_1639823479.jpg","Guediawaye, Dakar, Sénégal","260 000CFA","Chiots labrador mâle"
"1765118238-322","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3486056_uploaded_image1_1639612838.jpg","Grand Yoff, Dakar, Sénégal","250 000CFA","Chiot Caniche"
"1765118238-323","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3482498_uploaded_image1_1639423744.jpg","Fann-Point E-Amitié, Dakar, Sénégal","Prix sur demande","Chiots Carlin"
"1765118238-324","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3480830_uploaded_image1_1639319506.jpg","Sicap Liberté, Dakar, Sénégal","350 000CFA","Chien"
"1765118238-325","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3480182_uploaded_image1_1639256565.jpg","Mbao, Dakar, Sénégal","Prix sur demande","Chiot bichons maltais"
"1765118238-326","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3474340_uploaded_image1_1638955416.jpg","Dakar Plateau, Dakar, Sénégal","400 000CFA","Chien Husky"
"1765118238-327","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3474335_uploaded_image1_1638955282.jpg","Dakar Plateau, Dakar, Sénégal","350 000CFA","Chien Pittbull"
"1765118238-328","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3460832_uploaded_image1_1638313935.jpg","Cambérène, Dakar, Sénégal","165 000CFA","Chiot berger allemand"
"1765118238-329","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3450883_uploaded_image2_1637673227.jpeg","Thies, Sénégal","130 000CFA","Chiot Berger Allemand"
"1765118238-330","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3449348_uploaded_image1_1637584231.jpg","Guediawaye, Dakar, Sénégal","350 000CFA","Chiot labrador"
"1765118238-331","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3443483_uploaded_image1_1637231939.jpg","Dakar Plateau, Dakar, Sénégal","350 000CFA","Chien Husky Siberien"
"1765118238-332","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3443479_uploaded_image1_1637231877.jpg","Dakar Plateau, Dakar, Sénégal","350 000CFA","Chien Husky Siberien"
"1765118238-333","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3442911_uploaded_image1_1637185024.jpg","Hann Bel-Air, Dakar, Sénégal","250 000CFA","Chiot pitbull"
"1765118238-334","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3428785_uploaded_image1_1636449218.jpg","Mbao, Dakar, Sénégal","Prix sur demande","Chiot bichon maltais"
"1765118238-335","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3426533_uploaded_image1_1636325507.jpg","Dakar, Sénégal","170 000CFA","Chien pitbull mâle"
"1765118238-336","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3424026_uploaded_image3_1636184109.jpeg","Yoff, Dakar, Sénégal","Prix sur demande","Chiot"
"1765118238-337","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3423235_uploaded_image1_1636132429.jpg","Yoff, Dakar, Sénégal","Prix sur demande","Chiots"
"1765118238-338","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3412462_uploaded_image1_1635705551.jpg","Almadies, Dakar, Sénégal","200 000CFA","Chien bichon maltais mâle"
"1765118238-339","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3410404_uploaded_image1_1635541129.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","170 000CFA","Chiot bichon"
"1765118238-340","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3403879_uploaded_image1_1635228058.jpg","Mamelles, Dakar, Sénégal","75 000CFA","Chiot Cairn Terrier"
"1765118238-341","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3401220_uploaded_image1_1635079428.jpg","Keur Massar, Sénégal","175 000CFA","Chiots bergers allemands"
"1765118238-342","https://sn.coinafrique.com/categorie/chiens?page=7","","","https://images.coinafrique.com/thumb_3392834_uploaded_image1_1634634800.jpg","Guediawaye, Dakar, Sénégal","300 000CFA","Chiot Cockers"
